Participant,Task,Saccade Count,Total Saccade Duration [ms],Average Saccade Duration [ms],Average Saccade Distance [px]
162,vehicle_java.jpg,397,76110.47600000004,191.7140453400505,79.4847838082173
162,mupliple_choice_vehicle.jpg,246,59075.68799999999,240.14507317073165,89.47558348583325
163,vehicle_java.jpg,158,68062.04799999995,430.7724556962022,111.51275683348574
163,mupliple_choice_vehicle.jpg,57,27017.789000000004,473.9962982456141,102.5972337140838
163,rectangle_java.jpg,59,43662.902,740.049186440678,153.58449918625556
163,mupliple_choice_rectangle.jpg,36,14022.937999999998,389.5260555555555,202.82364108040628
164,vehicle_java2.jpg,115,76602.487,666.1085826086955,129.21885162428447
164,mupliple_choice_vehicle.jpg,16,17294.485,1080.9053125,171.85597894523028
164,rectangle_java2.jpg,103,75449.227,732.5167669902912,104.1718977860883
164,mupliple_choice_rectangle.jpg,23,30670.311,1333.4917826086958,260.56444357485003
165,rectangle_java2.jpg,376,96511.71600000001,256.6800957446809,45.032904212178465
165,mupliple_choice_rectangle.jpg,95,27849.562,293.15328421052635,76.27068958815376
165,vehicle_java2.jpg,118,53435.486999999994,452.84311016949147,90.99672712478004
165,mupliple_choice_vehicle.jpg,72,30585.3,424.79583333333335,88.96501620261796
166,rectangle_java.jpg,33,89508.47300000001,2712.37796969697,296.7252208363744
166,mupliple_choice_rectangle.jpg,35,55159.272,1575.9792,215.54763706285664
166,vehicle_java.jpg,51,131608.75099999996,2580.5637450980385,158.18102033014122
166,mupliple_choice_vehicle.jpg,17,24853.803,1461.988411764706,213.90750514369978
167,vehicle_java.jpg,1,29193.683,29193.683,305.0035163731723
167,mupliple_choice_vehicle.jpg,0,0.0,0.0,0.0
167,rectangle_java.jpg,0,0.0,0.0,0.0
167,mupliple_choice_rectangle.jpg,1,8131.02,8131.02,151.290937269884
168,rectangle_java2.jpg,190,131515.34099999996,692.1860052631577,105.1688444486384
168,mupliple_choice_rectangle.jpg,245,27533.978,112.38358367346939,34.06843816990391
168,vehicle_java2.jpg,112,74249.49099999998,662.9418839285712,139.7754025333417
168,mupliple_choice_vehicle.jpg,109,47732.860999999975,437.9161559633025,75.51671368469681
169,vehicle_java.jpg,142,60899.92899999997,428.8727394366195,79.43197281701869
169,mupliple_choice_vehicle.jpg,75,15706.097999999996,209.41463999999996,93.07508491102938
169,rectangle_java.jpg,346,85916.74899999991,248.31430346820784,92.54136397621552
169,mupliple_choice_rectangle.jpg,122,27241.715,223.29274590163934,90.98357139404627
16,rectangle_java2.jpg,134,48578.292000000016,362.52456716417925,89.76086472118014
16,mupliple_choice_rectangle.jpg,90,27602.117999999995,306.69019999999995,105.54030238338781
16,vehicle_java2.jpg,218,86670.98300000001,397.5733165137615,88.75826153534841
16,mupliple_choice_vehicle.jpg,195,53088.07200000003,272.2465230769232,59.820456887809996
170,rectangle_java2.jpg,31,14039.857000000002,452.89861290322585,91.69581335476775
170,mupliple_choice_rectangle.jpg,53,16518.823999999993,311.6759245283018,101.4538221832747
170,vehicle_java2.jpg,277,74734.87500000009,269.8009927797837,59.849874350729685
170,mupliple_choice_vehicle.jpg,134,27851.076,207.84385074626866,58.12035275365751
171,vehicle_java2.jpg,300,75182.60200000003,250.60867333333343,68.0665054813488
171,mupliple_choice_vehicle.jpg,119,28238.096999999994,237.2949327731092,78.00871530835143
171,rectangle_java2.jpg,142,36157.596000000005,254.6309577464789,63.25208305358769
171,mupliple_choice_rectangle.jpg,68,20534.530999999995,301.9783970588235,76.1803574066942
172,vehicle_java2.jpg,126,40211.71499999999,319.14059523809516,62.6336291299282
172,mupliple_choice_vehicle.jpg,92,25076.854000000007,272.57450000000006,81.03152877482923
